NAME,CATEGORY,SUBCATEGORY,LON,LAT,
Topley,SETTLEMENTS,TOWN,-126.300201,54.507529000000005,
Simoom Sound,SETTLEMENTS,TOWN,-126.48440930000001,50.759862000000005,
Taylor,SETTLEMENTS,TOWN,-120.6867691,56.159227,
Kispiox,SETTLEMENTS,VILLAGE,-127.6957979,55.3501405,
Kelsey Bay,SETTLEMENTS,HAMLET,-125.966667,50.400000000000006,
Barrière,SETTLEMENTS,VILLAGE,-120.13345290000001,51.1891346,
Tulameen,SETTLEMENTS,VILLAGE,-120.75947860000001,49.5459942,
Britannia Beach,SETTLEMENTS,VILLAGE,-123.206005,49.626392,
Brackendale,SETTLEMENTS,SUBURB,-123.15,49.766667000000005,
Bridge Lake,SETTLEMENTS,HAMLET,-120.7,51.483333,
Lawnhill,SETTLEMENTS,HAMLET,-131.9261084,53.401791100000004,
Horsefly,SETTLEMENTS,VILLAGE,-121.416667,52.333333,
Miocene,SETTLEMENTS,HAMLET,-121.6922165,52.275490700000006,
Port Neville,SETTLEMENTS,TOWN,-126.08333300000001,50.483333,
Galbraith,SETTLEMENTS,TOWN,-132.0806738,59.5332688,
Sointula,SETTLEMENTS,VILLAGE,-127.01666700000001,50.633333,
Thurlow,SETTLEMENTS,HAMLET,-125.36584090000001,50.455632300000005,
Port Alice,SETTLEMENTS,TOWN,-127.48809800000001,50.426893,
Hunts Inlet,SETTLEMENTS,TOWN,-130.45000000000002,54.066667,
Doughty,SETTLEMENTS,HAMLET,-127.31666530000001,54.9499992,
Claxton,SETTLEMENTS,TOWN,-130.1,54.066667,
Jackson Bay,SETTLEMENTS,TOWN,-125.75088500000001,50.516919,
Chutine,SETTLEMENTS,HAMLET,-131.5945715,57.6656284,
Bear Lake,SETTLEMENTS,HAMLET,-126.86278360000001,56.194546100000004,
Perow,SETTLEMENTS,HAMLET,-126.433333,54.516667000000005,
Knight Inlet,SETTLEMENTS,TOWN,-125.7,50.683333000000005,
